Ranking,Município,Indice_Receita,Receita_Selecionada,Receita_Total
1,João Pessoa,46.36%,1861199599.91,4141325641.91
2,Cabedelo,45.95%,661058584.95,872808491.92
3,Campina Grande,34.10%,650763261.53,1646413460.5
4,Junco do Seridó,33.93%,122746150.88,361743714.55
5,Guarabira,31.88%,517547644.82,224313076.45
6,Patos,30.89%,471064589.94,305320368.76
7,Bayeux,28.67%,86464052.03,301519974.13
8,Cajazeiras,26.27%,121993250.96,209839806.65
9,Soledade,25.14%,122086822.85,131113797.03
10,Conde,24.90%,122459755.47,306727946.02
11,Santa Luzia,24.50%,87230500.88,226761946.02
12,Nazarezinho,24.12%,74188186.55,88714736.17
13,Santa Helena,23.91%,47464226.01,94764746.19
14,Pirpirituba,23.72%,47481868.55,94610391.57
15,São Sebastião de Lagoa de Roça,23.72%,129671605.46,4566091.45
